timestamp;mode;server_pool;operation;volume;client_pool;avg_time_s;throughput_Bps;success;fail
2025-05-25T10:33:54.579779;thread;1;upload;10;1;0.12;-;1;0
2025-05-25T10:33:56.794233;thread;5;upload;10;1;0.13;-;1;0
2025-05-25T10:33:59.028164;thread;50;upload;10;1;0.16;-;1;0
2025-05-25T10:34:01.571678;thread;1;upload;10;5;0.33;-;5;0
2025-05-25T10:34:04.154230;thread;5;upload;10;5;0.51;-;5;0
2025-05-25T10:34:06.663231;thread;50;upload;10;5;0.41;-;5;0
2025-05-25T10:34:13.754294;thread;1;upload;10;50;3.20;-;50;0
2025-05-25T10:34:19.214451;thread;5;upload;10;50;2.52;-;50;0
2025-05-25T10:34:24.786404;thread;50;upload;10;50;3.17;-;50;0
2025-05-25T10:34:27.544803;thread;1;upload;50;1;0.68;-;1;0
2025-05-25T10:34:30.299558;thread;5;upload;50;1;0.68;-;1;0
2025-05-25T10:34:32.982851;thread;50;upload;50;1;0.60;-;1;0
2025-05-25T10:34:37.624673;thread;1;upload;50;5;1.84;-;5;0
2025-05-25T10:34:41.619321;thread;5;upload;50;5;1.90;-;5;0
2025-05-25T10:34:45.651622;thread;50;upload;50;5;1.94;-;5;0
2025-05-25T10:35:13.586333;thread;1;upload;50;50;16.34;-;50;0
2025-05-25T10:35:32.652927;thread;5;upload;50;50;12.18;-;50;0
2025-05-25T10:35:50.936586;thread;50;upload;50;50;15.60;-;50;0
2025-05-25T10:35:54.274352;thread;1;upload;100;1;1.26;-;1;0
2025-05-25T10:35:57.690147;thread;5;upload;100;1;1.35;-;1;0
2025-05-25T10:36:01.018928;thread;50;upload;100;1;1.23;-;1;0
2025-05-25T10:36:08.245056;thread;1;upload;100;5;3.59;-;5;0
2025-05-25T10:36:14.014398;thread;5;upload;100;5;3.65;-;5;0
2025-05-25T10:36:19.700188;thread;50;upload;100;5;3.60;-;5;0
2025-05-25T10:37:12.447711;thread;1;upload;100;50;32.08;-;50;0
2025-05-25T10:37:49.511862;thread;5;upload;100;50;25.12;-;50;0
2025-05-25T10:38:24.496105;thread;50;upload;100;50;31.57;-;50;0
2025-05-25T10:38:26.680792;thread;1;download;10;1;0.10;-;1;0
2025-05-25T10:38:28.867548;thread;5;download;10;1;0.11;-;1;0
2025-05-25T10:38:31.077770;thread;50;download;10;1;0.13;-;1;0
2025-05-25T10:38:33.569018;thread;1;download;10;5;0.26;-;5;0
2025-05-25T10:38:36.041570;thread;5;download;10;5;0.33;-;5;0
2025-05-25T10:38:38.542913;thread;50;download;10;5;0.33;-;5;0
2025-05-25T10:38:45.804371;thread;1;download;10;50;2.68;-;50;0
2025-05-25T10:38:50.479136;thread;5;download;10;50;1.37;-;50;0
2025-05-25T10:38:55.708838;thread;50;download;10;50;2.23;-;50;0
2025-05-25T10:38:58.239029;thread;1;download;50;1;0.46;-;1;0
2025-05-25T10:39:00.777790;thread;5;download;50;1;0.46;-;1;0
2025-05-25T10:39:03.341719;thread;50;download;50;1;0.47;-;1;0
2025-05-25T10:39:07.527487;thread;1;download;50;5;1.30;-;5;0
2025-05-25T10:39:11.491761;thread;5;download;50;5;1.56;-;5;0
2025-05-25T10:39:15.465983;thread;50;download;50;5;1.61;-;5;0
2025-05-25T10:39:37.506949;thread;1;download;50;50;10.21;-;50;0
2025-05-25T10:39:51.319311;thread;5;download;50;50;6.48;-;50;0
2025-05-25T10:40:10.315639;thread;50;download;50;50;12.40;-;50;0
2025-05-25T10:40:13.452211;thread;1;download;100;1;1.06;-;1;0
2025-05-25T10:40:16.629999;thread;5;download;100;1;1.10;-;1;0
2025-05-25T10:40:19.790338;thread;50;download;100;1;1.05;-;1;0
2025-05-25T10:40:25.926966;thread;1;download;100;5;2.49;-;5;0
2025-05-25T10:40:32.103124;thread;5;download;100;5;3.41;-;5;0
2025-05-25T10:40:38.113654;thread;50;download;100;5;3.26;-;5;0
2025-05-25T10:41:20.046859;thread;1;download;100;50;20.51;-;50;0
2025-05-25T10:41:46.732491;thread;5;download;100;50;13.62;-;50;0
2025-05-25T10:42:22.630841;thread;50;download;100;50;24.66;-;50;0
2025-05-25T10:42:24.726103;thread;1;list;10;1;0.00;-;1;0
2025-05-25T10:42:26.801187;thread;5;list;10;1;0.00;-;1;0
2025-05-25T10:42:28.883052;thread;50;list;10;1;0.00;-;1;0
2025-05-25T10:42:30.968706;thread;1;list;10;5;0.00;-;5;0
2025-05-25T10:42:33.056157;thread;5;list;10;5;0.01;-;5;0
2025-05-25T10:42:35.133085;thread;50;list;10;5;0.00;-;5;0
2025-05-25T10:42:37.275669;thread;1;list;10;50;0.02;-;50;0
2025-05-25T10:42:39.385379;thread;5;list;10;50;0.01;-;50;0
2025-05-25T10:42:41.499902;thread;50;list;10;50;0.01;-;50;0
2025-05-25T10:42:43.579885;thread;1;list;50;1;0.00;-;1;0
2025-05-25T10:42:45.664686;thread;5;list;50;1;0.00;-;1;0
2025-05-25T10:42:47.741564;thread;50;list;50;1;0.00;-;1;0
2025-05-25T10:42:49.810555;thread;1;list;50;5;0.00;-;5;0
2025-05-25T10:42:51.887797;thread;5;list;50;5;0.00;-;5;0
2025-05-25T10:42:53.969537;thread;50;list;50;5;0.00;-;5;0
2025-05-25T10:42:56.093823;thread;1;list;50;50;0.02;-;50;0
2025-05-25T10:42:58.202318;thread;5;list;50;50;0.01;-;50;0
2025-05-25T10:43:00.306563;thread;50;list;50;50;0.01;-;50;0
2025-05-25T10:43:02.383073;thread;1;list;100;1;0.00;-;1;0
2025-05-25T10:43:04.451899;thread;5;list;100;1;0.00;-;1;0
2025-05-25T10:43:06.560053;thread;50;list;100;1;0.00;-;1;0
2025-05-25T10:43:08.640774;thread;1;list;100;5;0.00;-;5;0
2025-05-25T10:43:10.713878;thread;5;list;100;5;0.00;-;5;0
2025-05-25T10:43:12.790342;thread;50;list;100;5;0.01;-;5;0
2025-05-25T10:43:14.943413;thread;1;list;100;50;0.02;-;50;0
2025-05-25T10:43:17.046616;thread;5;list;100;50;0.01;-;50;0
2025-05-25T10:43:19.144992;thread;50;list;100;50;0.01;-;50;0
2025-05-25T10:43:21.355208;process;1;upload;10;1;0.12;-;1;0
2025-05-25T10:43:23.565288;process;5;upload;10;1;0.13;-;1;0
2025-05-25T10:43:25.760943;process;50;upload;10;1;0.12;-;1;0
2025-05-25T10:43:28.205780;process;1;upload;10;5;0.36;-;5;0
2025-05-25T10:43:30.689598;process;5;upload;10;5;0.40;-;5;0
2025-05-25T10:43:33.181324;process;50;upload;10;5;0.40;-;5;0
2025-05-25T10:43:37.829355;process;1;upload;10;50;1.99;-;50;0
2025-05-25T10:43:42.304982;process;5;upload;10;50;1.88;-;50;0
2025-05-25T10:43:47.378957;process;50;upload;10;50;2.42;-;50;0
2025-05-25T10:43:50.060825;process;1;upload;50;1;0.58;-;1;0
2025-05-25T10:43:52.706811;process;5;upload;50;1;0.57;-;1;0
2025-05-25T10:43:55.325627;process;50;upload;50;1;0.55;-;1;0
2025-05-25T10:43:59.161907;process;1;upload;50;5;1.75;-;5;0
2025-05-25T10:44:03.044110;process;5;upload;50;5;1.79;-;5;0
2025-05-25T10:44:06.897633;process;50;upload;50;5;1.75;-;5;0
2025-05-25T10:44:23.003085;process;1;upload;50;50;13.09;-;50;0
2025-05-25T10:44:38.654919;process;5;upload;50;50;12.37;-;50;0
2025-05-25T10:45:02.678097;process;50;upload;50;50;21.64;-;50;0
2025-05-25T10:45:06.008840;process;1;upload;100;1;1.25;-;1;0
2025-05-25T10:45:09.133549;process;5;upload;100;1;1.05;-;1;0
2025-05-25T10:45:12.534232;process;50;upload;100;1;1.32;-;1;0
2025-05-25T10:45:18.000797;process;1;upload;100;5;3.35;-;5;0
2025-05-25T10:45:23.378001;process;5;upload;100;5;3.29;-;5;0
2025-05-25T10:45:28.685360;process;50;upload;100;5;3.20;-;5;0
2025-05-25T10:46:00.019284;process;1;upload;100;50;27.42;-;50;0
2025-05-25T10:46:30.254845;process;5;upload;100;50;26.55;-;50;0
2025-05-25T10:46:59.885539;process;50;upload;100;50;25.50;-;50;0
2025-05-25T10:47:02.121749;process;1;download;10;1;0.13;-;1;0
2025-05-25T10:47:04.381735;process;5;download;10;1;0.16;-;1;0
2025-05-25T10:47:06.584364;process;50;download;10;1;0.12;-;1;0
2025-05-25T10:47:08.974955;process;1;download;10;5;0.27;-;5;0
2025-05-25T10:47:11.347557;process;5;download;10;5;0.25;-;5;0
2025-05-25T10:47:13.753349;process;50;download;10;5;0.26;-;5;0
2025-05-25T10:47:18.499947;process;1;download;10;50;2.00;-;50;0
2025-05-25T10:47:23.169698;process;5;download;10;50;1.94;-;50;0
2025-05-25T10:47:27.737446;process;50;download;10;50;1.72;-;50;0
2025-05-25T10:47:30.362195;process;1;download;50;1;0.52;-;1;0
2025-05-25T10:47:33.011179;process;5;download;50;1;0.57;-;1;0
2025-05-25T10:47:35.648551;process;50;download;50;1;0.52;-;1;0
2025-05-25T10:47:39.256722;process;1;download;50;5;1.43;-;5;0
2025-05-25T10:47:42.814885;process;5;download;50;5;1.38;-;5;0
2025-05-25T10:47:46.339914;process;50;download;50;5;1.26;-;5;0
2025-05-25T10:48:02.089474;process;1;download;50;50;10.78;-;50;0
2025-05-25T10:48:18.274467;process;5;download;50;50;11.04;-;50;0
2025-05-25T10:48:33.362729;process;50;download;50;50;10.50;-;50;0
2025-05-25T10:48:36.376659;process;1;download;100;1;0.93;-;1;0
2025-05-25T10:48:39.573296;process;5;download;100;1;1.12;-;1;0
2025-05-25T10:48:42.696321;process;50;download;100;1;1.03;-;1;0
2025-05-25T10:48:47.789126;process;1;download;100;5;2.79;-;5;0
2025-05-25T10:48:52.827475;process;5;download;100;5;2.75;-;5;0
2025-05-25T10:48:57.734015;process;50;download;100;5;2.52;-;5;0
2025-05-25T10:49:27.177608;process;1;download;100;50;21.72;-;50;0
2025-05-25T10:49:55.621590;process;5;download;100;50;21.01;-;50;0
2025-05-25T10:50:22.697854;process;50;download;100;50;19.15;-;50;0
2025-05-25T10:50:24.770284;process;1;list;10;1;0.00;-;1;0
2025-05-25T10:50:26.854902;process;5;list;10;1;0.00;-;1;0
2025-05-25T10:50:28.943872;process;50;list;10;1;0.00;-;1;0
2025-05-25T10:50:31.030872;process;1;list;10;5;0.00;-;5;0
2025-05-25T10:50:33.121138;process;5;list;10;5;0.00;-;5;0
2025-05-25T10:50:35.215936;process;50;list;10;5;0.00;-;5;0
2025-05-25T10:50:37.339492;process;1;list;10;50;0.02;-;50;0
2025-05-25T10:50:39.477759;process;5;list;10;50;0.01;-;50;0
2025-05-25T10:50:41.616514;process;50;list;10;50;0.01;-;50;0
2025-05-25T10:50:43.691592;process;1;list;50;1;0.00;-;1;0
2025-05-25T10:50:45.773960;process;5;list;50;1;0.00;-;1;0
2025-05-25T10:50:47.851384;process;50;list;50;1;0.00;-;1;0
2025-05-25T10:50:49.936183;process;1;list;50;5;0.00;-;5;0
2025-05-25T10:50:52.025131;process;5;list;50;5;0.00;-;5;0
2025-05-25T10:50:54.116901;process;50;list;50;5;0.00;-;5;0
2025-05-25T10:50:56.253443;process;1;list;50;50;0.01;-;50;0
2025-05-25T10:50:58.383998;process;5;list;50;50;0.02;-;50;0
2025-05-25T10:51:00.523400;process;50;list;50;50;0.02;-;50;0
2025-05-25T10:51:02.630961;process;1;list;100;1;0.00;-;1;0
2025-05-25T10:51:04.711614;process;5;list;100;1;0.00;-;1;0
2025-05-25T10:51:06.804633;process;50;list;100;1;0.00;-;1;0
2025-05-25T10:51:08.884906;process;1;list;100;5;0.00;-;5;0
2025-05-25T10:51:10.972644;process;5;list;100;5;0.00;-;5;0
2025-05-25T10:51:13.060699;process;50;list;100;5;0.00;-;5;0
2025-05-25T10:51:15.191548;process;1;list;100;50;0.02;-;50;0
2025-05-25T10:51:17.328557;process;5;list;100;50;0.01;-;50;0
2025-05-25T10:51:19.467011;process;50;list;100;50;0.02;-;50;0
